Indicator,State,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Anxiety Disorder,Kansas,32.1,27.7,36.7,27.7 - 36.7,23.8-32.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,36.5,32.4,40.8,32.4 - 40.8,28.8-37.6
Symptoms of Depressive Disorder,Kansas,24.8,21.1,28.8,21.1 - 28.8,19.6-24.8
Symptoms of Anxiety Disorder,Kansas,29.3,25.6,33.3,25.6 - 33.3,25.0-30.7
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,34.5,30.5,38.6,30.5 - 38.6,29.2-36.4
Symptoms of Depressive Disorder,Kansas,22.9,19.6,26.4,19.6 - 26.4,18.3-24.1
Symptoms of Anxiety Disorder,Kansas,27.6,23.5,32,23.5 - 32.0,21.4-30.2
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,31.5,27.6,35.6,27.6 - 35.6,25.5-35.9
Symptoms of Depressive Disorder,Kansas,27.2,22.7,32,22.7 - 32.0,25.0-28.1
Symptoms of Anxiety Disorder,Kansas,29.4,25.2,33.9,25.2 - 33.9,28.5-31.4
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,37.7,32.9,42.5,32.9 - 42.5,36.1-38.7
Symptoms of Depressive Disorder,Kansas,23.3,19.2,27.9,19.2 - 27.9,22.5-23.5
Symptoms of Anxiety Disorder,Kansas,27.2,23.9,30.7,23.9 - 30.7,26.7-29.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,32.1,28.4,36,28.4 - 36.0,32.1-34.7
Symptoms of Depressive Disorder,Kansas,20.6,16.5,25.1,16.5 - 25.1,19.6-22.3
Symptoms of Anxiety Disorder,Kansas,24,19.7,28.7,19.7 - 28.7,23.6-26.7
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,28.7,24.4,33.2,24.4 - 33.2,22.0-28.7
Symptoms of Depressive Disorder,Kansas,21.7,17.9,25.9,17.9 - 25.9,20.8-23.1
Symptoms of Anxiety Disorder,Kansas,25.7,21.5,30.4,21.5 - 30.4,23.4-25.7
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,29.7,25.8,34,25.8 - 34.0,27.4-29.8
Symptoms of Depressive Disorder,Kansas,16.1,12.9,19.8,12.9 - 19.8,15.7-18.9
Symptoms of Anxiety Disorder,Kansas,21.9,18.6,25.4,18.6 - 25.4,17.2-23.4
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,25.1,21.7,28.7,21.7 - 28.7,23.2-27.1
Symptoms of Depressive Disorder,Kansas,18.9,15.2,23.1,15.2 - 23.1,18.4-20.2
Symptoms of Anxiety Disorder,Kansas,21.8,18.5,25.4,18.5 - 25.4,17.7-22.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,25.4,21.5,29.6,21.5 - 29.6,22.1-26.8
Symptoms of Depressive Disorder,Kansas,19.7,15.3,24.7,15.3 - 24.7,19.4-20.7
Symptoms of Anxiety Disorder,Kansas,19.9,16.7,23.6,16.7 - 23.6,17.3-22.8
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,25.9,21.5,30.8,21.5 - 30.8,21.0-26.7
Symptoms of Depressive Disorder,Kansas,16.9,13.5,20.9,13.5 - 20.9,11.5-17.4
Symptoms of Anxiety Disorder,Kansas,23.6,19.9,27.6,19.9 - 27.6,22.6-24.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,27.5,23.8,31.5,23.8 - 31.5,26.3-28.1
Symptoms of Depressive Disorder,Kansas,19.1,15.8,22.7,15.8 - 22.7,18.8-21.7
Symptoms of Anxiety Disorder,Kansas,26,22.1,30.1,22.1 - 30.1,23.9-26.0
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,28.3,24.2,32.8,24.2 - 32.8,27.1-30.9
Symptoms of Depressive Disorder,Kansas,18.5,14.6,23.1,14.6 - 23.1,13.1-18.8
Symptoms of Anxiety Disorder,Kansas,23.8,19.6,28.4,19.6 - 28.4,19.2-23.8
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,28.2,24.1,32.5,24.1 - 32.5,28.1-30.3
Symptoms of Depressive Disorder,Kansas,19.4,16.1,22.9,16.1 - 22.9,15.6-19.4
Symptoms of Anxiety Disorder,Kansas,25.8,22,29.9,22.0 - 29.9,25.6-27.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,29.4,25.6,33.4,25.6 - 33.4,23.9-29.4
Symptoms of Depressive Disorder,Kansas,23.3,19.6,27.3,19.6 - 27.3,21.3-24.2
Symptoms of Anxiety Disorder,Kansas,30,25.9,34.3,25.9 - 34.3,29.6-40.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,33.7,29.7,37.8,29.7 - 37.8,31.2-33.7
Symptoms of Depressive Disorder,Kansas,25.6,21.7,29.9,21.7 - 29.9,25.6-30.6
Symptoms of Anxiety Disorder,Kansas,31.2,26.6,35.9,26.6 - 35.9,30.2-39.2
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,35.7,31,40.6,31.0 - 40.6,35.7-41.7
Symptoms of Depressive Disorder,Kansas,18.9,15.1,23.2,15.1 - 23.2,14.1-20.2
Symptoms of Anxiety Disorder,Kansas,26.8,22.8,31.1,22.8 - 31.1,24.5-27.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,29.2,25.1,33.6,25.1 - 33.6,28.7-31.9
Symptoms of Depressive Disorder,Kansas,21.6,18.4,25.2,18.4 - 25.2,21.6-23.1
Symptoms of Anxiety Disorder,Kansas,24.9,21.4,28.7,21.4 - 28.7,20.6-25.0
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,31.1,27.3,35.1,27.3 - 35.1,29.6-31.1
Symptoms of Depressive Disorder,Kansas,20,16.5,23.8,16.5 - 23.8,18.5-21.0
Symptoms of Anxiety Disorder,Kansas,25.4,22.1,28.8,22.1 - 28.8,22.0-25.7
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,28.8,25.3,32.6,25.3 - 32.6,24.8-29.7
Symptoms of Depressive Disorder,Kansas,21.5,18.5,24.7,18.5 - 24.7,20.4-21.7
Symptoms of Anxiety Disorder,Kansas,25.7,22.6,29,22.6 - 29.0,25.5-26.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,29.8,26.6,33.1,26.6 - 33.1,28.6-31.7
Symptoms of Depressive Disorder,Kansas,21.4,17.9,25.2,17.9 - 25.2,21.1-22.8
Symptoms of Anxiety Disorder,Kansas,27.7,24.7,30.9,24.7 - 30.9,26.7-29.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,31.3,28,34.8,28.0 - 34.8,30.0-33.7
Symptoms of Depressive Disorder,Kansas,22.3,18.9,26.1,18.9 - 26.1,21.2-22.9
Symptoms of Anxiety Disorder,Kansas,28.4,24.7,32.3,24.7 - 32.3,26.5-28.6
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,32.7,28.9,36.7,28.9 - 36.7,30.2-32.7
Symptoms of Depressive Disorder,Kansas,18.8,15,23.1,15.0 - 23.1,14.6-19.0
Symptoms of Anxiety Disorder,Kansas,26.1,21.4,31.2,21.4 - 31.2,24.8-26.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,27.8,23,33,23.0 - 33.0,19.2-28.0
Symptoms of Depressive Disorder,Kansas,17.9,14.1,22.3,14.1 - 22.3,17.0-19.5
Symptoms of Anxiety Disorder,Kansas,24.4,21.1,28,21.1 - 28.0,19.9-25.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,28.1,24.5,31.9,24.5 - 31.9,24.5-29.8
Symptoms of Depressive Disorder,Kansas,20.4,16.9,24.3,16.9 - 24.3,12.4-20.4
Symptoms of Anxiety Disorder,Kansas,25.3,21.4,29.6,21.4 - 29.6,23.2-26.4
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,29.9,25.8,34.1,25.8 - 34.1,25.5-30.3
Symptoms of Depressive Disorder,Kansas,22.1,19,25.5,19.0 - 25.5,21.4-23.5
Symptoms of Anxiety Disorder,Kansas,28.8,25,33,25.0 - 33.0,27.2-29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,32.8,29.4,36.4,29.4 - 36.4,31.5-33.8
Symptoms of Depressive Disorder,Kansas,25.8,21.8,30.2,21.8 - 30.2,24.5-26.3
Symptoms of Anxiety Disorder,Kansas,31,26.6,35.6,26.6 - 35.6,31.0-33.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,37.5,32.9,42.4,32.9 - 42.4,36.0-37.9
Symptoms of Depressive Disorder,Kansas,23.5,19.2,28.3,19.2 - 28.3,21.8-23.7
Symptoms of Anxiety Disorder,Kansas,31.7,27.4,36.2,27.4 - 36.2,31.3-33.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,36.1,31.3,41.2,31.3 - 41.2,35.8-38.5
Symptoms of Depressive Disorder,Kansas,25.5,22.1,29.2,22.1 - 29.2,24.1-26.3
Symptoms of Anxiety Disorder,Kansas,29.1,25.9,32.4,25.9 - 32.4,28.6-30.7
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,35.1,31.8,38.5,31.8 - 38.5,33.0-35.2
Symptoms of Depressive Disorder,Kansas,22.9,19,27.2,19.0 - 27.2,20.7-23.0
Symptoms of Anxiety Disorder,Kansas,28.7,25,32.7,25.0 - 32.7,26.9-28.7
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,32.6,28.5,36.8,28.5 - 36.8,31.0-33.3
Symptoms of Depressive Disorder,Kansas,22.4,18.8,26.4,18.8 - 26.4,21.8-22.9
Symptoms of Anxiety Disorder,Kansas,28.8,25.1,32.6,25.1 - 32.6,27.5-29.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,32,28.4,35.8,28.4 - 35.8,29.5-32.0
Symptoms of Depressive Disorder,Kansas,21.3,17.9,25,17.9 - 25.0,19.6-21.3
Symptoms of Anxiety Disorder,Kansas,26,22.6,29.5,22.6 - 29.5,25.7-28.2
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,30.5,27,34.2,27.0 - 34.2,29.5-32.0
Symptoms of Depressive Disorder,Kansas,21.3,18.7,24,18.7 - 24.0,20.1-21.5
Symptoms of Anxiety Disorder,Kansas,23.9,21.2,26.7,21.2 - 26.7,17.9-25.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,30.3,27.5,33.1,27.5 - 33.1,22.5-30.4
Symptoms of Depressive Disorder,Kansas,22.2,19.3,25.4,19.3 - 25.4,21.3-23.4
Symptoms of Anxiety Disorder,Kansas,29.3,26.2,32.7,26.2 - 32.7,28.0-30.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,33.6,30.1,37.3,30.1 - 37.3,32.7-34.7
Symptoms of Depressive Disorder,Kansas,21.1,17,25.7,17.0 - 25.7,20.8-23.3
Symptoms of Anxiety Disorder,Kansas,27.8,23.8,32,23.8 - 32.0,27.4-29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,31.5,27.6,35.7,27.6 - 35.7,29.8-31.5
Symptoms of Depressive Disorder,Kansas,20.5,17.3,24.1,17.3 - 24.1,18.9-21.2
Symptoms of Anxiety Disorder,Kansas,26.4,23,30,23.0 - 30.0,26.4-27.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,31,27.6,34.6,27.6 - 34.6,30.2-31.9
Symptoms of Depressive Disorder,Kansas,21.4,18.4,24.7,18.4 - 24.7,21.4-24.5
Symptoms of Anxiety Disorder,Kansas,29.4,25.9,33,25.9 - 33.0,27.5-29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,33.9,30.6,37.4,30.6 - 37.4,32.7-35.1
Symptoms of Depressive Disorder,Kansas,20.6,17.7,23.8,17.7 - 23.8,19.2-21.2
Symptoms of Anxiety Disorder,Kansas,25.4,22.7,28.3,22.7 - 28.3,19.2-25.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,31.9,28.6,35.2,28.6 - 35.2,30.2-32.0
Symptoms of Depressive Disorder,Kansas,19.1,15.9,22.7,15.9 - 22.7,17.7-19.5
Symptoms of Anxiety Disorder,Kansas,23.4,20.2,26.8,20.2 - 26.8,22.6-24.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,27.2,23.9,30.7,23.9 - 30.7,26.9-28.6
Symptoms of Depressive Disorder,Kansas,21.1,18.3,24,18.3 - 24.0,20.5-21.9
Symptoms of Anxiety Disorder,Kansas,26.5,23.1,30.2,23.1 - 30.2,26.5-28.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,32.2,28.9,35.6,28.9 - 35.6,30.7-33.5
Symptoms of Depressive Disorder,Kansas,22.7,19.5,26.3,19.5 - 26.3,20.8-22.7
Symptoms of Anxiety Disorder,Kansas,29,25.8,32.4,25.8 - 32.4,28.4-29.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,34.9,31.6,38.4,31.6 - 38.4,32.8-34.9
Symptoms of Depressive Disorder,Kansas,13.3,10.7,16.1,10.7 - 16.1,12.1-13.8
Symptoms of Anxiety Disorder,Kansas,16.6,13.7,19.9,13.7 - 19.9,15.7-17.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,20.5,17.2,24.2,17.2 - 24.2,19.2-20.8
Symptoms of Depressive Disorder,Kansas,11.9,9.2,15,9.2 - 15.0,9.0-12.3
Symptoms of Anxiety Disorder,Kansas,15.5,11.9,19.7,11.9 - 19.7,15.4-17.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,18.9,15.2,23.1,15.2 - 23.1,16.4-18.9
Symptoms of Depressive Disorder,Kansas,14.8,11.5,18.6,11.5 - 18.6,13.9-14.9
Symptoms of Anxiety Disorder,Kansas,18.6,15.1,22.6,15.1 - 22.6,17.8-19.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,22,18.1,26.3,18.1 - 26.3,21.3-22.8
Symptoms of Depressive Disorder,Kansas,15.4,11.8,19.5,11.8 - 19.5,15.0-20.4
Symptoms of Anxiety Disorder,Kansas,15.8,12.8,19.2,12.8 - 19.2,10.9-16.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,21.7,18.2,25.5,18.2 - 25.5,21.5-23.0
Symptoms of Depressive Disorder,Kansas,15.3,12.6,18.4,12.6 - 18.4,15.1-18.6
Symptoms of Anxiety Disorder,Kansas,17.9,14.5,21.8,14.5 - 21.8,16.6-18.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,21.6,18.3,25.3,18.3 - 25.3,21.4-23.1
Symptoms of Depressive Disorder,Kansas,13.2,10.9,15.7,10.9 - 15.7,11.6-13.3
Symptoms of Anxiety Disorder,Kansas,17.5,15,20.2,15.0 - 20.2,17.3-19.0
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,20.4,17.6,23.4,17.6 - 23.4,19.2-20.8
Symptoms of Depressive Disorder,Kansas,12.6,10.6,14.9,10.6 - 14.9,12.0-13.9
Symptoms of Anxiety Disorder,Kansas,15,12.9,17.3,12.9 - 17.3,12.3-16.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,18.4,16.2,20.8,16.2 - 20.8,15.9-18.8
Symptoms of Depressive Disorder,Kansas,15,11.7,18.6,11.7 - 18.6,13.6-15.0
Symptoms of Anxiety Disorder,Kansas,18.2,14.6,22.3,14.6 - 22.3,17.9-19.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,21.9,18,26.3,18.0 - 26.3,21.3-22.7
Symptoms of Depressive Disorder,Kansas,13.5,10.5,17,10.5 - 17.0,12.5-13.8
Symptoms of Anxiety Disorder,Kansas,18.8,15.3,22.7,15.3 - 22.7,18.1-19.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,21.5,17.8,25.5,17.8 - 25.5,19.5-21.5
Symptoms of Depressive Disorder,Kentucky,23.2,19.4,27.4,19.4 - 27.4,22.2 - 24.0
Symptoms of Anxiety Disorder,Kentucky,31.6,28.1,35.3,28.1 - 35.3,30.4 - 31.6
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,36.4,32.5,40.4,32.5 - 40.4,34.8 - 36.7
Symptoms of Depressive Disorder,Kentucky,25.6,19.8,32.2,19.8 - 32.2,23.1 - 25.6
Symptoms of Anxiety Disorder,Kentucky,29.6,24.6,35,24.6 - 35.0,28.8 - 31.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,37.7,31,44.7,31.0 - 44.7,36.1 - 48.4
Symptoms of Depressive Disorder,Kentucky,22.8,18.8,27.1,18.8 - 27.1,20.8-23.2
Symptoms of Anxiety Disorder,Kentucky,27.7,23.5,32.2,23.5 - 32.2,27.5-28.8
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,35.5,30.7,40.4,30.7 - 40.4,35.0-44.3
Symptoms of Depressive Disorder,Kentucky,23.2,19.1,27.8,19.1 - 27.8,23.0-25.8
Symptoms of Anxiety Disorder,Kentucky,30.8,25.8,36.2,25.8 - 36.2,30.7-36.0
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,34.7,29.2,40.4,29.2 - 40.4,33.2-35.5
Symptoms of Depressive Disorder,Kentucky,28.5,24.3,32.9,24.3 - 32.9,26.9-31.8
Symptoms of Anxiety Disorder,Kentucky,33.3,29.8,36.9,29.8 - 36.9,31.8-37.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,39,35.1,43,35.1 - 43.0,37.0-40.0
Symptoms of Depressive Disorder,Kentucky,25.5,21.6,29.7,21.6 - 29.7,25.1-27.2
Symptoms of Anxiety Disorder,Kentucky,33,28.4,37.9,28.4 - 37.9,32.8-36.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,37.6,33.1,42.4,33.1 - 42.4,34.8-37.6
Symptoms of Depressive Disorder,Kentucky,22.6,18,27.7,18.0 - 27.7,21.8-23.9
Symptoms of Anxiety Disorder,Kentucky,26.6,20.9,33,20.9 - 33.0,22.7-27.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,31.9,26.6,37.7,26.6 - 37.7,25.5-32.2
Symptoms of Depressive Disorder,Kentucky,29,24.4,33.8,24.4 - 33.8,28.8-35.6
Symptoms of Anxiety Disorder,Kentucky,33.2,28.7,38,28.7 - 38.0,30.9-33.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,38.3,33.1,43.7,33.1 - 43.7,34.5-38.3
Symptoms of Depressive Disorder,Kentucky,26.4,22.7,30.4,22.7 - 30.4,26.1-28.9
Symptoms of Anxiety Disorder,Kentucky,33.9,28.9,39.3,28.9 - 39.3,32.3-34.7
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,38.5,33.9,43.4,33.9 - 43.4,36.0-39.4
Symptoms of Depressive Disorder,Kentucky,27.4,23.3,31.9,23.3 - 31.9,26.8-29.3
Symptoms of Anxiety Disorder,Kentucky,36.3,31.2,41.6,31.2 - 41.6,35.4-40.6
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,39.9,34.5,45.5,34.5 - 45.5,38.1-40.6
Symptoms of Depressive Disorder,Kentucky,30.7,26.3,35.3,26.3 - 35.3,27.3-30.7
Symptoms of Anxiety Disorder,Kentucky,37.8,33.5,42.1,33.5 - 42.1,34.3-37.8
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,42.2,38,46.5,38.0 - 46.5,42.1-46.5
Symptoms of Depressive Disorder,Kentucky,30.6,25.9,35.6,25.9 - 35.6,29.4-32.2
Symptoms of Anxiety Disorder,Kentucky,35.9,30.5,41.7,30.5 - 41.7,35.6-38.4
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,41.7,36.2,47.5,36.2 - 47.5,40.6-43.5
Symptoms of Depressive Disorder,Kentucky,27.9,24.4,31.7,24.4 - 31.7,25.8-28.3
Symptoms of Anxiety Disorder,Kentucky,34.6,30.8,38.5,30.8 - 38.5,33.4-37.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,38.7,35,42.4,35.0 - 42.4,38.3-40.4
Symptoms of Depressive Disorder,Kentucky,30.1,26.1,34.4,26.1 - 34.4,26.6-30.3
Symptoms of Anxiety Disorder,Kentucky,34.2,30.4,38.2,30.4 - 38.2,33.5-36.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,40.3,36,44.6,36.0 - 44.6,38.2-41.7
Symptoms of Depressive Disorder,Kentucky,30.7,27,34.6,27.0 - 34.6,26.9-31.8
Symptoms of Anxiety Disorder,Kentucky,32.4,28.5,36.4,28.5 - 36.4,31.6-33.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,39.8,35.9,43.9,35.9 - 43.9,38.5-47.6
Symptoms of Depressive Disorder,Kentucky,31.5,27,36.4,27.0 - 36.4,26.1-31.5
Symptoms of Anxiety Disorder,Kentucky,37.8,33.1,42.7,33.1 - 42.7,34.0-39.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,42.8,38.1,47.7,38.1 - 47.7,38.9-44.0
Symptoms of Depressive Disorder,Kentucky,29.5,24.7,34.7,24.7 - 34.7,27.4-33.4
Symptoms of Anxiety Disorder,Kentucky,35.3,31.3,39.5,31.3 - 39.5,34.9-39.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,41.9,37.1,46.7,37.1 - 46.7,39.7-46.3
Symptoms of Depressive Disorder,Kentucky,27.1,22.1,32.6,22.1 - 32.6,24.5-27.6
Symptoms of Anxiety Disorder,Kentucky,37.6,31.4,44,31.4 - 44.0,36.7-38.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,40.8,34.7,47.3,34.7 - 47.3,38.9-41.6
Symptoms of Depressive Disorder,Kentucky,26.5,22.5,30.8,22.5 - 30.8,26.3-27.5
Symptoms of Anxiety Disorder,Kentucky,32.4,27.6,37.4,27.6 - 37.4,28.4-34.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,38.9,34.7,43.3,34.7 - 43.3,32.1-39.7
Symptoms of Depressive Disorder,Kentucky,33.9,29,39.2,29.0 - 39.2,31.3-36.9
Symptoms of Anxiety Disorder,Kentucky,40.2,34.7,45.9,34.7 - 45.9,37.8-43.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,45.9,39.9,52,39.9 - 52.0,43.8-47.6
Symptoms of Depressive Disorder,Kentucky,33.4,28.4,38.6,28.4 - 38.6,32.4-39.4
Symptoms of Anxiety Disorder,Kentucky,37.9,33.4,42.6,33.4 - 42.6,36.0-38.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,43.9,38.4,49.5,38.4 - 49.5,41.2-44.1
Symptoms of Depressive Disorder,Kentucky,29.6,23.1,36.9,23.1 - 36.9,28.1-30.1
Symptoms of Anxiety Disorder,Kentucky,35.8,30.1,41.7,30.1 - 41.7,34.9-37.3
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,40.4,34.5,46.6,34.5 - 46.6,38.5-40.4
Symptoms of Depressive Disorder,Kentucky,30.5,24.6,36.9,24.6 - 36.9,30.4-34.0
Symptoms of Anxiety Disorder,Kentucky,37.6,32.1,43.4,32.1 - 43.4,37.2-43.4
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,43.6,37.5,49.9,37.5 - 49.9,43.3-47.5
Symptoms of Depressive Disorder,Kentucky,28.7,23.3,34.6,23.3 - 34.6,27.4-29.8
Symptoms of Anxiety Disorder,Kentucky,30.8,25.3,36.8,25.3 - 36.8,30.8-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,39,33.1,45.1,33.1 - 45.1,38.8-40.6
Symptoms of Depressive Disorder,Kentucky,34,29.4,38.8,29.4 - 38.8,29.2-36.1
Symptoms of Anxiety Disorder,Kentucky,40.1,34.1,46.3,34.1 - 46.3,34.5-40.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,45.9,40.4,51.5,40.4 - 51.5,40.2-46.5
Symptoms of Depressive Disorder,Kentucky,30.5,26.4,34.9,26.4 - 34.9,28.2-35.0
Symptoms of Anxiety Disorder,Kentucky,33.4,28.8,38.3,28.8 - 38.3,33.2-40.6
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,39.7,35,44.4,35.0 - 44.4,38.8-47.2
Symptoms of Depressive Disorder,Kentucky,23.4,19.3,28,19.3 - 28.0,22.5-23.5
Symptoms of Anxiety Disorder,Kentucky,27.9,23.2,33,23.2 - 33.0,26.7-29.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,33.5,28.2,39.1,28.2 - 39.1,32.1-34.7
Symptoms of Depressive Disorder,Kentucky,28.2,21.4,35.9,21.4 - 35.9,23.8-29.1
Symptoms of Anxiety Disorder,Kentucky,29,22.9,35.7,22.9 - 35.7,29.0-35.6
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,34.8,28.4,41.7,28.4 - 41.7,33.6-42.1
Symptoms of Depressive Disorder,Kentucky,25.3,19.7,31.6,19.7 - 31.6,23.2-27.3
Symptoms of Anxiety Disorder,Kentucky,30.8,25.2,36.7,25.2 - 36.7,27.9-30.8
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,35.2,29.3,41.4,29.3 - 41.4,31.9-35.5
Symptoms of Depressive Disorder,Kentucky,20.9,17.3,25,17.3 - 25.0,20.7-22.7
Symptoms of Anxiety Disorder,Kentucky,27.6,22.9,32.7,22.9 - 32.7,27.1-29.8
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,31.4,26.4,36.9,26.4 - 36.9,29.0-32.3
Symptoms of Depressive Disorder,Kentucky,19.5,15.5,24,15.5 - 24.0,18.4-20.2
Symptoms of Anxiety Disorder,Kentucky,23,17.4,29.4,17.4 - 29.4,22.6-25.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,28.4,22.7,34.6,22.7 - 34.6,26.9-29.2
Symptoms of Depressive Disorder,Kentucky,22,17.2,27.3,17.2 - 27.3,20.8-22.3
Symptoms of Anxiety Disorder,Kentucky,30.1,23.5,37.3,23.5 - 37.3,28.2-35.7
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,33.2,26.7,40.2,26.7 - 40.2,32.0-39.2
Symptoms of Depressive Disorder,Kentucky,26.2,21.8,31,21.8 - 31.0,23.2-29.6
Symptoms of Anxiety Disorder,Kentucky,28.6,23.5,34.1,23.5 - 34.1,26.4-33.5
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,34.3,29.3,39.7,29.3 - 39.7,31.3-37.5
Symptoms of Depressive Disorder,Kentucky,24.1,19,29.9,19.0 - 29.9,21.8-24.2
Symptoms of Anxiety Disorder,Kentucky,27.9,22.9,33.3,22.9 - 33.3,26.1-29.6
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,33.7,28.2,39.6,28.2 - 39.6,31.0-34.2
Symptoms of Depressive Disorder,Kentucky,23.9,18.7,29.7,18.7 - 29.7,23.2-31.2
Symptoms of Anxiety Disorder,Kentucky,27.9,23.2,33,23.2 - 33.0,25.9-27.9
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,34.6,29.1,40.4,29.1 - 40.4,32.5-39.7
Symptoms of Depressive Disorder,Kentucky,23.1,19.2,27.5,19.2 - 27.5,22.6-25.0
Symptoms of Anxiety Disorder,Kentucky,31.5,26.3,37,26.3 - 37.0,30.1-36.2
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,33.8,28.7,39.2,28.7 - 39.2,31.6-34.0
Symptoms of Depressive Disorder,Kentucky,25.4,20.6,30.8,20.6 - 30.8,24.3-31.2
Symptoms of Anxiety Disorder,Kentucky,30.7,25.9,35.8,25.9 - 35.8,29.6-40.1
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,33,28.1,38.2,28.1 - 38.2,31.2-33.7
